,Time,Potential
0,3600.2,-0.471
0.2,3600.4,-0.452
0.4,3600.6,-0.457
0.6,3600.8,-0.432
0.8,3601,-0.428
1,3601.2,-0.428
1.2,3601.4,-0.418
1.4,3601.6,-0.423
1.6,3601.8,-0.413
1.8,3602,-0.389
2,3602.2,-0.384
2.2,3602.4,-0.375
2.4,3602.6,-0.384
2.6,3602.8,-0.346
2.8,3603,-0.336
3,3603.2,-0.346
3.2,3603.4,-0.336
3.4,3603.6,-0.288
3.6,3603.8,-0.269
3.8,3604,-0.249
4,3604.2,-0.244
4.2,3604.4,-0.235
4.4,3604.6,-0.225
4.6,3604.8,-0.22
4.8,3605,-0.182
5,3605.2,-0.196
5.2,3605.4,-0.177
5.4,3605.6,-0.182
5.6,3605.8,-0.172
5.8,3606,-0.157
6,3606.2,-0.143
6.2,3606.4,-0.129
6.4,3606.6,-0.114
6.6,3606.8,-0.095
6.8,3607,-0.08
7,3607.2,-0.066
7.2,3607.4,-0.047
7.4,3607.6,-0.037
7.6,3607.8,-0.018
7.8,3608,-0.003
8,3608.2,0.002
8.2,3608.4,0.016
8.4,3608.6,0.035
8.6,3608.8,0.04
8.8,3609,0.05
9,3609.2,0.055
9.2,3609.4,0.06
9.4,3609.6,0.069
9.6,3609.8,0.074
9.8,3610,0.074
10,3610.2,0.079
10.2,3610.4,0.079
10.4,3610.6,0.084
10.6,3610.8,0.093
10.8,3611,0.093
11,3611.2,0.093
11.2,3611.4,0.089
11.4,3611.6,0.089
11.6,3611.8,0.089
11.8,3612,0.089
12,3612.2,0.093
12.2,3612.4,0.301
12.4,3612.6,0.498
12.6,3612.8,0.677
12.8,3613,0.822
13,3613.2,0.947
13.2,3613.4,1.039
13.4,3613.6,1.121
13.6,3613.8,1.207
13.8,3614,1.28
14,3614.2,1.328
14.2,3614.4,1.386
14.4,3614.6,1.429
14.6,3614.8,1.463
14.8,3615,1.511
15,3615.2,1.559
15.2,3615.4,1.593
15.4,3615.6,1.637
15.6,3615.8,1.675
15.8,3616,1.699
16,3616.2,1.733
16.2,3616.4,1.752
16.4,3616.6,1.757
16.6,3616.8,1.728
16.8,3617,1.762
17,3617.2,1.776
17.2,3617.4,1.776
17.4,3617.6,1.757
17.6,3617.8,1.743
17.8,3618,1.714
18,3618.2,1.699
18.2,3618.4,1.714
18.4,3618.6,1.685
18.6,3618.8,1.656
18.8,3619,1.617
19,3619.2,1.608
19.2,3619.4,1.564
19.4,3619.6,1.526
19.6,3619.8,1.506
19.8,3620,1.477
20,3620.2,1.405
20.2,3620.4,1.333
20.4,3620.6,1.265
20.6,3620.8,1.227
20.8,3621,1.198
21,3621.2,1.174
21.2,3621.4,1.111
21.4,3621.6,1.068
21.6,3621.8,1.029
21.8,3622,0.985
22,3622.2,0.937
22.2,3622.4,0.889
22.4,3622.6,0.855
22.6,3622.8,0.831
22.8,3623,0.793
23,3623.2,0.759
23.2,3623.4,0.73
23.4,3623.6,0.701
23.6,3623.8,0.662
23.8,3624,0.643
24,3624.2,0.619
24.2,3624.4,0.6
24.4,3624.6,0.576
24.6,3624.8,0.561
24.8,3625,0.542
25,3625.2,0.527
25.2,3625.4,0.522
25.4,3625.6,0.513
25.6,3625.8,0.489
25.8,3626,0.474
26,3626.2,0.474
26.2,3626.4,0.469
26.4,3626.6,0.445
26.6,3626.8,0.445
26.8,3627,0.426
27,3627.2,0.412
27.2,3627.4,0.402
27.4,3627.6,0.373
27.6,3627.8,0.334
27.8,3628,0.276
28,3628.2,0.209
28.2,3628.4,0.17
28.4,3628.6,0.122
28.6,3628.8,0.089
28.8,3629,0.04
29,3629.2,0.006
