Time,,Potential
0,4453,-0.971
0.2,4453.2,-0.947
0.4,4453.4,-0.966
0.6,4453.6,-0.966
0.8,4453.8,-0.971
1,4454,-0.966
1.2,4454.2,-0.966
1.4,4454.4,-0.961
1.6,4454.6,-0.961
1.8,4454.8,-0.956
2,4455,-0.956
2.2,4455.2,-0.947
2.4,4455.4,-0.947
2.6,4455.6,-0.937
2.8,4455.8,-0.932
3,4456,-0.932
3.2,4456.2,-0.932
3.4,4456.4,-0.927
3.6,4456.6,-0.923
3.8,4456.8,-0.889
4,4457,-0.874
4.2,4457.2,-0.874
4.4,4457.4,-0.87
4.6,4457.6,-0.87
4.8,4457.8,-0.86
5,4458,-0.845
5.2,4458.2,-0.845
5.4,4458.4,-0.841
5.6,4458.6,-0.841
5.8,4458.8,-0.831
6,4459,-0.831
6.2,4459.2,-0.831
6.4,4459.4,-0.821
6.6,4459.6,-0.826
6.8,4459.8,-0.821
7,4460,-0.821
7.2,4460.2,-0.821
7.4,4460.4,-0.812
7.6,4460.6,-0.812
7.8,4460.8,-0.807
8,4461,-0.802
8.2,4461.2,-0.802
8.4,4461.4,-0.845
8.6,4461.6,-0.841
8.8,4461.8,-0.845
9,4462,-0.841
9.2,4462.2,-0.841
9.4,4462.4,-0.845
9.6,4462.6,-0.841
9.8,4462.8,-0.836
10,4463,-0.836
10.2,4463.2,-0.841
10.4,4463.4,-0.841
10.6,4463.6,-0.841
10.8,4463.8,-0.836
11,4464,-0.831
11.2,4464.2,-0.831
11.4,4464.4,-0.831
11.6,4464.6,-0.831
11.8,4464.8,-0.826
12,4465,-0.826
12.2,4465.2,-0.821
12.4,4465.4,-0.821
12.6,4465.6,-0.826
12.8,4465.8,-0.831
13,4466,-0.826
13.2,4466.2,-0.826
13.4,4466.4,-0.826
13.6,4466.6,-0.826
13.8,4466.8,-0.821
14,4467,-0.817
14.2,4467.2,-0.778
14.4,4467.4,-0.764
14.6,4467.6,-0.773
14.8,4467.8,-0.759
15,4468,-0.754
15.2,4468.2,-0.754
15.4,4468.4,-0.749
15.6,4468.6,-0.749
15.8,4468.8,-0.749
16,4469,-0.749
16.2,4469.2,-0.739
16.4,4469.4,-0.739
16.6,4469.6,-0.739
16.8,4469.8,-0.735
17,4470,-0.735
17.2,4470.2,-0.739
17.4,4470.4,-0.73
17.6,4470.6,-0.73
17.8,4470.8,-0.73
18,4471,-0.73
18.2,4471.2,-0.73
18.4,4471.4,-0.73
18.6,4471.6,-0.73
18.8,4471.8,-0.725
19,4472,-0.72
19.2,4472.2,-0.72
19.4,4472.4,-0.71
19.6,4472.6,-0.706
19.8,4472.8,-0.701
20,4473,-0.696
20.2,4473.2,-0.696
20.4,4473.4,-0.691
20.6,4473.6,-0.691
20.8,4473.8,-0.686
21,4474,-0.677
21.2,4474.2,-0.667
21.4,4474.4,-0.657
21.6,4474.6,-0.657
21.8,4474.8,-0.648
22,4475,-0.638
22.2,4475.2,-0.628
22.4,4475.4,-0.619
22.6,4475.6,-0.609
22.8,4475.8,-0.599
23,4476,-0.58
23.2,4476.2,-0.561
23.4,4476.4,-0.551
23.6,4476.6,-0.537
23.8,4476.8,-0.518
24,4477,-0.498
24.2,4477.2,-0.489
24.4,4477.4,-0.469
24.6,4477.6,-0.46
24.8,4477.8,-0.44
25,4478,-0.445
25.2,4478.2,-0.431
25.4,4478.4,-0.402
25.6,4478.6,-0.363
25.8,4478.8,-0.349
26,4479,-0.315
26.2,4479.2,-0.296
26.4,4479.4,-0.281
26.6,4479.6,-0.243
26.8,4479.8,-0.17
27,4480,-0.136
27.2,4480.2,-0.107
27.4,4480.4,-0.05
27.6,4480.6,0.018
27.8,4480.8,0.013
28,4481,0.052
28.2,4481.2,0.129
28.4,4481.4,0.177
28.6,4481.6,0.24
28.8,4481.8,0.302
29,4482,0.37
29.2,4482.2,0.428
29.4,4482.4,0.433
29.6,4482.6,0.447
29.8,4482.8,0.481
30,4483,0.495
30.2,4483.2,0.505
30.4,4483.4,0.515
30.6,4483.6,0.524
30.8,4483.8,0.548
31,4484,0.544
31.2,4484.2,0.573
31.4,4484.4,0.587
31.6,4484.6,0.597
31.8,4484.8,0.611
32,4485,0.635
32.2,4485.2,0.664
32.4,4485.4,0.693
32.6,4485.6,0.727
32.8,4485.8,0.756
33,4486,0.799
33.2,4486.2,0.823
33.4,4486.4,0.862
33.6,4486.6,0.886
33.8,4486.8,0.91
34,4487,0.944
34.2,4487.2,0.997
34.4,4487.4,1.06
34.6,4487.6,1.093
34.8,4487.8,1.118
35,4488,1.156
35.2,4488.2,1.176
35.4,4488.4,1.204
35.6,4488.6,1.277
35.8,4488.8,1.286
36,4489,1.286
36.2,4489.2,1.407
36.4,4489.4,1.475
36.6,4489.6,1.494
36.8,4489.8,1.527
37,4490,1.537
37.2,4490.2,1.576
37.4,4490.4,1.605
37.6,4490.6,1.605
37.8,4490.8,1.634
38,4491,1.658
38.2,4491.2,1.692
38.4,4491.4,1.682
38.6,4491.6,1.696
38.8,4491.8,1.788
39,4492,1.826
39.2,4492.2,1.822
39.4,4492.4,1.831
39.6,4492.6,1.855
39.8,4492.8,1.86
40,4493,1.855
40.2,4493.2,1.855
40.4,4493.4,1.793
40.6,4493.6,1.86
40.8,4493.8,1.841
41,4494,1.836
41.2,4494.2,1.812
41.4,4494.4,1.793
41.6,4494.6,1.783
41.8,4494.8,1.759
42,4495,1.74
42.2,4495.2,1.706
42.4,4495.4,1.692
42.6,4495.6,1.658
42.8,4495.8,1.638
43,4496,1.6
43.2,4496.2,1.566
43.4,4496.4,1.547
43.6,4496.6,1.503
43.8,4496.8,1.47
44,4497,1.475
44.2,4497.2,1.417
44.4,4497.4,1.373
44.6,4497.6,1.33
44.8,4497.8,1.281
45,4498,1.238
45.2,4498.2,1.195
45.4,4498.4,1.142
45.6,4498.6,1.089
45.8,4498.8,1.011
46,4499,0.944
46.2,4499.2,0.881
46.4,4499.4,0.804
46.6,4499.6,0.717
46.8,4499.8,0.621
47,4500,0.515
47.2,4500.2,0.399
47.4,4500.4,0.269
47.6,4500.6,0.211
47.8,4500.8,0.206
48,4501,0.206
48.2,4501.2,0.201
48.4,4501.4,0.196
48.6,4501.6,0.206
48.8,4501.8,0.206
49,4502,0.201
49.2,4502.2,0.211
49.4,4502.4,0.201
49.6,4502.6,0.211
49.8,4502.8,0.206
50,4503,0.211
50.2,4503.2,0.211
50.4,4503.4,0.206
50.6,4503.6,0.211
50.8,4503.8,0.206
51,4504,0.211
51.2,4504.2,0.196
51.4,4504.4,0.196
51.6,4504.6,0.196
51.8,4504.8,0.196
52,4505,0.196
52.2,4505.2,0.192
52.4,4505.4,0.187
52.6,4505.6,0.187
52.8,4505.8,0.187
53,4506,0.182
53.2,4506.2,0.182
53.4,4506.4,0.177
53.6,4506.6,0.172
53.8,4506.8,0.167
54,4507,0.158
54.2,4507.2,0.153
54.4,4507.4,0.148
54.6,4507.6,0.139
54.8,4507.8,0.134
55,4508,0.134
55.2,4508.2,0.124
55.4,4508.4,0.119
55.6,4508.6,0.11
55.8,4508.8,0.1
56,4509,0.095
56.2,4509.2,0.085
56.4,4509.4,0.076
56.6,4509.6,0.066
56.8,4509.8,0.056
57,4510,0.042
57.2,4510.2,0.037
57.4,4510.4,0.023
57.6,4510.6,0.018
57.8,4510.8,0.003
58,4511,0.003
58.2,4511.2,-0.011
58.4,4511.4,-0.026
58.6,4511.6,-0.031
58.8,4511.8,-0.035
59,4512,-0.045
59.2,4512.2,-0.064
59.4,4512.4,-0.074
59.6,4512.6,-0.083
59.8,4512.8,-0.074
60,4513,-0.074
60.2,4513.2,-0.103
60.4,4513.4,-0.098
60.6,4513.6,-0.112
60.8,4513.8,-0.112
61,4514,-0.117
61.2,4514.2,-0.122
61.4,4514.4,-0.127
61.6,4514.6,-0.146
61.8,4514.8,-0.17
62,4515,-0.199
62.2,4515.2,-0.214
62.4,4515.4,-0.209
62.6,4515.6,-0.204
62.8,4515.8,-0.247
63,4516,-0.223
63.2,4516.2,-0.238
63.4,4516.4,-0.238
63.6,4516.6,-0.252
63.8,4516.8,-0.204
64,4517,-0.252
64.2,4517.2,-0.272
64.4,4517.4,-0.267
64.6,4517.6,-0.267
64.8,4517.8,-0.252
65,4518,-0.286
65.2,4518.2,-0.291
65.4,4518.4,-0.291
65.6,4518.6,-0.276
65.8,4518.8,-0.276
66,4519,-0.267
66.2,4519.2,-0.305
66.4,4519.4,-0.281
66.6,4519.6,-0.301
66.8,4519.8,-0.305
67,4520,-0.31
67.2,4520.2,-0.344
67.4,4520.4,-0.595
67.6,4520.6,-0.585
67.8,4520.8,-0.571
68,4521,-0.58
68.2,4521.2,-0.58
68.4,4521.4,-0.623
68.6,4521.6,-0.638
68.8,4521.8,-0.633
69,4522,-0.652
69.2,4522.2,-0.696
69.4,4522.4,-0.71
69.6,4522.6,-0.739
69.8,4522.8,-0.754
70,4523,-0.817
70.2,4523.2,-0.845
70.4,4523.4,-0.966
70.6,4523.6,-0.981
70.8,4523.8,-0.966
71,4524,-1.096
71.2,4524.2,-1.14
71.4,4524.4,-1.217
71.6,4524.6,-1.265
71.8,4524.8,-1.366
72,4525,-1.414
72.2,4525.2,-1.357
72.4,4525.4,-1.362
72.6,4525.6,-1.333
72.8,4525.8,-1.342
73,4526,-1.328
73.2,4526.2,-1.318
73.4,4526.4,-1.27
73.6,4526.6,-1.188
73.8,4526.8,-1.188
74,4527,-1.164
74.2,4527.2,-1.063
74.4,4527.4,-0.908
74.6,4527.6,-0.923
74.8,4527.8,-0.923
75,4528,-0.918
75.2,4528.2,-0.908
75.4,4528.4,-0.908
75.6,4528.6,-0.908
75.8,4528.8,-0.898
76,4529,-0.894
76.2,4529.2,-0.884
76.4,4529.4,-0.874
76.6,4529.6,-0.865
76.8,4529.8,-0.86
77,4530,-0.855
77.2,4530.2,-0.841
77.4,4530.4,-0.831
77.6,4530.6,-0.826
77.8,4530.8,-0.826
78,4531,-0.821
78.2,4531.2,-0.812
78.4,4531.4,-0.812
78.6,4531.6,-0.812
78.8,4531.8,-0.812
79,4532,-0.812
79.2,4532.2,-0.807
79.4,4532.4,-0.802
79.6,4532.6,-0.802
79.8,4532.8,-0.807
80,4533,-0.802
80.2,4533.2,-0.788
80.4,4533.4,-0.783
80.6,4533.6,-0.783
80.8,4533.8,-0.773
81,4534,-0.768
81.2,4534.2,-0.759
81.4,4534.4,-0.749
81.6,4534.6,-0.73
81.8,4534.8,-0.725
82,4535,-0.71
82.2,4535.2,-0.696
82.4,4535.4,-0.681
82.6,4535.6,-0.662
82.8,4535.8,-0.643
83,4536,-0.619
83.2,4536.2,-0.599
83.4,4536.4,-0.575
83.6,4536.6,-0.542
83.8,4536.8,-0.518
84,4537,-0.493
84.2,4537.2,-0.455
84.4,4537.4,-0.416
84.6,4537.6,-0.368
84.8,4537.8,-0.334
85,4538,-0.301
85.2,4538.2,-0.276
