"Time","Potential"
0.0,0.391
0.2,0.367
0.4,0.367
0.6,0.362
0.8,0.352
1.0,0.342
1.2,0.333
1.4,0.328
1.6,0.323
1.8,0.323
2.0,0.309
2.2,0.304
2.4,0.304
2.6,0.294
2.8,0.285
3.0,0.289
3.2,0.289
3.4,0.280
3.6,0.280
3.8,0.265
4.0,0.261
4.2,0.265
4.4,0.261
4.6,0.246
4.8,0.251
5.0,0.241
5.2,0.241
5.4,0.232
5.6,0.232
5.8,0.227
6.0,0.227
6.2,0.217
6.4,0.212
6.6,0.212
6.8,0.208
7.0,0.203
7.2,0.198
7.4,0.188
7.6,0.188
7.8,0.179
8.0,0.169
8.2,0.174
8.4,0.169
8.6,0.169
8.8,0.159
9.0,0.154
9.2,0.145
9.4,0.150
9.6,0.145
9.8,0.135
10.0,0.130
10.2,0.125
10.4,0.116
10.6,0.106
10.8,0.101
11.0,0.106
11.2,0.096
11.4,0.077
11.6,0.077
11.8,0.058
12.0,0.043
12.2,0.039
12.4,0.005
12.6,-0.024
12.8,-0.048
13.0,-0.072
13.2,-0.092
13.4,-0.121
13.6,-0.150
13.8,-0.169
14.0,-0.193
14.2,-0.222
14.4,-0.256
14.6,-0.289
14.8,-0.313
15.0,-0.352
15.2,-0.386
15.4,-0.410
15.6,-0.434
15.8,-0.463
16.0,-0.497
16.2,-0.530
16.4,-0.574
16.6,-0.555
16.8,-0.559
17.0,-0.603
17.2,-0.637
17.4,-0.641
17.6,-0.661
17.8,-0.695
18.0,-0.714
18.2,-0.728
18.4,-0.733
18.6,-0.738
18.8,-0.757
19.0,-0.767
19.2,-0.781
19.4,-0.796
19.6,-0.796
19.8,-0.800
20.0,-0.805
20.2,-0.815
20.4,-0.820
20.6,-0.820
20.8,-0.829
21.0,-0.825
21.2,-0.825
21.4,-0.825
21.6,-0.820
21.8,-0.820
22.0,-0.820
22.2,-0.815
22.4,-0.815
22.6,-0.805
22.8,-0.800
23.0,-0.796
23.2,-0.791
23.4,-0.791
23.6,-0.800
23.8,-0.805
24.0,-0.810
24.2,-0.810
24.4,-0.815
24.6,-0.815
24.8,-0.815
25.0,-0.815
25.2,-0.815
25.4,-0.815
25.6,-0.815
25.8,-0.815
26.0,-0.810
26.2,-0.810
26.4,-0.810
26.6,-0.810
26.8,-0.810
27.0,-0.800
27.2,-0.805
27.4,-0.805
27.6,-0.805
27.8,-0.800
28.0,-0.805
28.2,-0.805
28.4,-0.805
28.6,-0.800
28.8,-0.805
29.0,-0.805
29.2,-0.805
29.4,-0.810
29.6,-0.810
29.8,-0.815
30.0,-0.810
30.2,-0.810
30.4,-0.815
30.6,-0.815
30.8,-0.810
31.0,-0.815
31.2,-0.815
31.4,-0.815
31.6,-0.815
31.8,-0.815
32.0,-0.815
32.2,-0.815
32.4,-0.810
32.6,-0.810
32.8,-0.810
33.0,-0.810
33.2,-0.805
33.4,-0.800
33.6,-0.796
33.8,-0.887
34.0,-0.926
34.2,-0.965
34.4,-1.003
34.6,-1.022
34.8,-1.075
35.0,-1.119
35.2,-1.114
35.4,-1.114
35.6,-1.138
35.8,-1.143
36.0,-1.162
36.2,-1.191
36.4,-1.167
36.6,-1.153
36.8,-1.167
37.0,-1.162
37.2,-1.158
37.4,-1.100
37.6,-1.051
37.8,-1.003
38.0,-0.989
38.2,-0.931
38.4,-0.897
38.6,-0.829
38.8,-0.757
39.0,-0.757
39.2,-0.704
39.4,-0.656
39.6,-0.656
39.8,-0.617
40.0,-0.574
40.2,-0.550
40.4,-0.550
40.6,-0.516
40.8,-0.502
41.0,-0.482
41.2,-0.453
41.4,-0.439
41.6,-0.434
41.8,-0.410
42.0,-0.405
42.2,-0.386
42.4,-0.371
42.6,-0.367
42.8,-0.367
43.0,-0.342
43.2,-0.333
43.4,-0.342
43.6,-0.333
43.8,-0.323
44.0,-0.318
44.2,-0.318
44.4,-0.323
44.6,-0.313
44.8,-0.294
45.0,-0.304
45.2,-0.299
45.4,-0.294
