Time,Potential,ADJ,MIN,MAX,AVG,AXIS 1,AXIS 2,AREA,AVG AREA,DURATION,AVG RPU
0,-0.971,-1.163,-2.061,2.208,-0.192,,,,,,
0.2,-0.947,-1.139,,,-0.192,,,,,,
0.4,-0.966,-1.158,,,-0.192,,,,,,
0.6,-0.966,-1.158,,,-0.192,,,,,,
0.8,-0.971,-1.163,,,-0.192,,,,,,
1,-0.966,-1.158,,,-0.192,,,,,,
1.2,-0.966,-1.158,,,-0.192,,,,,,
1.4,-0.961,-1.153,,,-0.192,,,,,,
1.6,-0.961,-1.153,,,-0.192,,,,,,
1.8,-0.956,-1.148,,,-0.192,,,,,,
2,-0.956,-1.148,,,-0.192,,,,,,
2.2,-0.947,-1.139,,,-0.192,,,,,,
2.4,-0.947,-1.139,,,-0.192,,,,,,
2.6,-0.937,-1.129,,,-0.192,,,,,,
2.8,-0.932,-1.124,,,-0.192,,,,,,
3,-0.932,-1.124,,,-0.192,,,,,,
3.2,-0.932,-1.124,,,-0.192,,,,,,
3.4,-0.927,-1.119,,,-0.192,,,,,,
3.6,-0.923,-1.115,,,-0.192,,,,,,
3.8,-0.889,-1.081,,,-0.192,,,,,,
4,-0.874,-1.066,,,-0.192,,,,,,
4.2,-0.874,-1.066,,,-0.192,,,,,,
4.4,-0.87,-1.062,,,-0.192,,,,,,
4.6,-0.87,-1.062,,,-0.192,,,,,,
4.8,-0.86,-1.052,,,-0.192,,,,,,
5,-0.845,-1.037,,,-0.192,,,,,,
5.2,-0.845,-1.037,,,-0.192,,,,,,
5.4,-0.841,-1.033,,,-0.192,,,,,,
5.6,-0.841,-1.033,,,-0.192,,,,,,
5.8,-0.831,-1.023,,,-0.192,,,,,,
6,-0.831,-1.023,,,-0.192,,,,,,
6.2,-0.831,-1.023,,,-0.192,,,,,,
6.4,-0.821,-1.013,,,-0.192,,,,,,
6.6,-0.826,-1.018,,,-0.192,,,,,,
6.8,-0.821,-1.013,,,-0.192,,,,,,
7,-0.821,-1.013,,,-0.192,,,,,,
7.2,-0.821,-1.013,,,-0.192,,,,,,
7.4,-0.812,-1.004,,,-0.192,,,,,,
7.6,-0.812,-1.004,,,-0.192,,,,,,
7.8,-0.807,-0.999,,,-0.192,,,,,,
8,-0.802,-0.994,,,-0.192,,,,,,
8.2,-0.802,-0.994,,,-0.192,,,,,,
8.4,-0.845,-1.037,,,-0.192,,,,,,
8.6,-0.841,-1.033,,,-0.192,,,,,,
8.8,-0.845,-1.037,,,-0.192,,,,,,
9,-0.841,-1.033,,,-0.192,,,,,,
9.2,-0.841,-1.033,,,-0.192,,,,,,
9.4,-0.845,-1.037,,,-0.192,,,,,,
9.6,-0.841,-1.033,,,-0.192,,,,,,
9.8,-0.836,-1.028,,,-0.192,,,,,,
10,-0.836,-1.028,,,-0.192,,,,,,
10.2,-0.841,-1.033,,,-0.192,,,,,,
10.4,-0.841,-1.033,,,-0.192,,,,,,
10.6,-0.841,-1.033,,,-0.192,,,,,,
10.8,-0.836,-1.028,,,-0.192,,,,,,
11,-0.831,-1.023,,,-0.192,,,,,,
11.2,-0.831,-1.023,,,-0.192,,,,,,
11.4,-0.831,-1.023,,,-0.192,,,,,,
11.6,-0.831,-1.023,,,-0.192,,,,,,
11.8,-0.826,-1.018,,,-0.192,,,,,,
12,-0.826,-1.018,,,-0.192,,,,,,
12.2,-0.821,-1.013,,,-0.192,,,,,,
12.4,-0.821,-1.013,,,-0.192,,,,,,
12.6,-0.826,-1.018,,,-0.192,,,,,,
12.8,-0.831,-1.023,,,-0.192,,,,,,
13,-0.826,-1.018,,,-0.192,,,,,,
13.2,-0.826,-1.018,,,-0.192,,,,,,
13.4,-0.826,-1.018,,,-0.192,,,,,,
13.6,-0.826,-1.018,,,-0.192,,,,,,
13.8,-0.821,-1.013,,,-0.192,,,,,,
14,-0.817,-1.009,,,-0.192,,,,,,
14.2,-0.778,-0.97,,,-0.192,,,,,,
14.4,-0.764,-0.956,,,-0.192,,,,,,
14.6,-0.773,-0.965,,,-0.192,,,,,,
