"Time","Potential 2","Potential 1"
0.0,0.240,
0.2,0.255,
0.4,0.245,
0.6,0.235,
0.8,0.230,
1.0,0.206,
1.2,0.206,
1.4,0.202,
1.6,0.192,
1.8,0.182,
2.0,0.158,
2.2,0.144,
2.4,0.144,
2.6,0.139,
2.8,0.139,
3.0,0.129,
3.2,0.115,
3.4,0.115,
3.6,0.110,
3.8,0.110,
4.0,0.105,
4.2,0.100,
4.4,0.096,
4.6,0.091,
4.8,0.086,
5.0,0.086,
5.2,0.081,
5.4,0.067,
5.6,0.067,
5.8,0.067,
6.0,0.062,
6.2,0.052,
6.4,0.052,
6.6,0.047,
6.8,0.042,
7.0,0.038,
7.2,0.013,
7.4,-0.001,
7.6,-0.011,
7.8,-0.020,
8.0,-0.040,
8.2,-0.059,
8.4,-0.078,
8.6,-0.092,
8.8,-0.107,
9.0,-0.126,
9.2,-0.141,
9.4,-0.150,
9.6,-0.165,
9.8,-0.175,
10.0,-0.184,
10.2,-0.189,
10.4,-0.199,
10.6,-0.208,
10.8,-0.213,
11.0,-0.228,
11.2,-0.233,
11.4,-0.237,
11.6,-0.242,
11.8,-0.242,
12.0,-0.252,
12.2,-0.252,
12.4,-0.257,
12.6,-0.257,
12.8,-0.262,
13.0,-0.266,
13.2,-0.266,
13.4,-0.266,
13.6,-0.276,
13.8,-0.276,
14.0,-0.271,
14.2,-0.276,
14.4,-0.281,
14.6,-0.281,
14.8,-0.286,
15.0,-0.286,
15.2,-0.286,
15.4,-0.286,
15.6,-0.286,
15.8,-0.290,
16.0,-0.286,
16.2,-0.286,
16.4,-0.295,
16.6,-0.295,
16.8,-0.295,
17.0,-0.300,
17.2,-0.300,
17.4,-0.305,
17.6,-0.305,
17.8,-0.305,
18.0,-0.310,
18.2,-0.314,
18.4,-0.314,
18.6,-0.319,
18.8,-0.319,
19.0,-0.319,
19.2,-0.319,
19.4,-0.324,
19.6,-0.324,
19.8,-0.319,
20.0,-0.319,
20.2,-0.319,
20.4,-0.319,
20.6,-0.310,
20.8,-0.314,
21.0,-0.310,
21.2,-0.305,
21.4,-0.300,
21.6,-0.300,
21.8,-0.300,
22.0,-0.300,
22.2,-0.300,
22.4,-0.300,
22.6,-0.300,
22.8,-0.300,
23.0,-0.300,
23.2,-0.300,
23.4,-0.300,
23.6,-0.300,
23.8,-0.300,
24.0,-0.300,
24.2,-0.305,
24.4,-0.300,
24.6,-0.305,
24.8,-0.310,
25.0,-0.305,
25.2,-0.305,
25.4,-0.310,
25.6,-0.310,
25.8,-0.305,
26.0,-0.310,
26.2,-0.314,
26.4,-0.324,
26.6,-0.387,
26.8,-0.358,
27.0,-0.387,
27.2,-0.425,
27.4,-0.425,
27.6,-0.454,
27.8,-0.479,
28.0,-0.479,
28.2,-0.469,
28.4,-0.479,
28.6,-0.498,
28.8,-0.493,
29.0,-0.512,
29.2,-0.508,
29.4,-0.493,
29.6,-0.483,
29.8,-0.493,
30.0,-0.488,
30.2,-0.479,
30.4,-0.483,
30.6,-0.459,
30.8,-0.459,
31.0,-0.459,
31.2,-0.445,
31.4,-0.445,
31.6,-0.435,
31.8,-0.430,
32.0,-0.421,
32.2,-0.421,
32.4,-0.416,
32.6,-0.416,
32.8,-0.411,
33.0,-0.416,
33.2,-0.396,
33.4,-0.406,
33.6,-0.411,
33.8,-0.392,
34.0,-0.396,
34.2,-0.406,
34.4,-0.411,
34.6,-0.387,
34.8,-0.387,
